,id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,audit_links,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d,staking,fdv,mcap,pool2,forkedFrom,listedAt,audit,audits_link
0,3,Curve,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,https://curve.fi,Curve is a decentralized exchange liquidity pool on Ethereum designed for extremely efficient stablecoin trading,Multi-Chain,https://icons.llama.fi/curve.png,2,,curve-dao-token,6538,Dexes,"['Ethereum', 'Avalanche', 'Fantom', 'Arbitrum', 'Polygon', 'Harmony', 'xDai']",curve/index.js,CurveFinance,['https://curve.fi/audits'],['Chainlink'],curve,22257330502.31253,"{'Avalanche': 1196776739.4497333, 'Harmony': 17656466.199441105, 'Ethereum': 19599412075.250816, 'xDai': 16819318.69396062, 'Ethereum-staking': 1932535008.2874641, 'Polygon': 301538068.13343996, 'Arbitrum': 436322252.0347482, 'Fantom': 688805581.8018779, 'staking': 1932535008.2874641}",0.11184401318044479,1.3083863587623625,5.243243115478705,1932535008.2874641,16486281485.0,1956364602.0,,,,,
1,118,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,https://makerdao.com/,"Builders of Dai, a digital currency that can be used by anyone, anywhere.
",Ethereum,https://icons.llama.fi/makerdao.jpg,2,,maker,1518,Minting,['Ethereum'],maker/index.js,MakerDAO,['https://security.makerdao.com/'],['Maker'],makerdao,18812007494.171112,{'Ethereum': 18812007494.171112},0.16690198357325414,1.0602013231379743,5.660234377294572,,2515601339.0,2254764206.0,,,,,
2,319,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,https://www.convexfinance.com/,Convex simplifies your Curve-boosting experience to maximize your yields.,Ethereum,https://icons.llama.fi/convex-finance.jpg,2,,convex-finance,9903,Yield,['Ethereum'],convex/index.js,ConvexFinance,['https://github.com/convex-eth/platform/blob/main/audit/Convex%20Platform%20Security%20Audit%20Report.pdf'],,convex-finance,17032576192.299717,{'Ethereum': 17032576192.299717},0.10860395592040106,2.7101687145836024,9.965084886287201,,3586492439.0,1531058395.0,,,,,
3,111,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,"https://aave.com
",Aave is an Open Source and Non-Custodial protocol to earn interest on deposits and borrow assets,Multi-Chain,https://icons.llama.fi/aave.png,2,,aave,7278,Lending,"['Ethereum', 'Avalanche', 'Polygon']",aave/index.js,AaveAave,['https://aave.com/security'],['Chainlink'],aave,14667813396.259754,"{'pool2': 261026722.44635803, 'Avalanche': 3386671046.56129, 'Polygon-borrowed': 3171377851.9472804, 'Ethereum-pool2': 261026722.44635803, 'Ethereum': 8881640479.830818, 'Ethereum-staking': 581967499.5551608, 'Polygon': 2399501869.867647, 'Ethereum-borrowed': 5740607970.758601, 'borrowed': 11688962732.30906, 'Avalanche-borrowed': 2776976909.6031766, 'staking': 581967499.5551608}",0.11369413960655095,1.4418500470264348,8.352989316100562,581967499.5551608,3147901221.0,2644741424.0,261026722.44635803,,,,
4,240,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,https://polygon.technology/,"Ethereum sidechain
",Polygon,https://icons.llama.fi/polygon.jpg,0,,matic-network,3890,Chain,['Polygon'],polygon/index.js,0xPolygon,,,polygon-bridge-&-staking,13182517969.776463,{'Polygon': 13182517969.776463},-0.3305367380296502,3.9052910757010153,13.337852536946542,,25080224982.0,17237363159.0,,,,,
5,182,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,https://lido.fi/,"Liquidity for staked assets. Daily rewards, no lock ups. Available for Ethereum, Solana & Terra.",Multi-Chain,https://icons.llama.fi/lido.png,2,,lido-dao,8000,Staking,"['Ethereum', 'Terra', 'Solana']",lido/index.js,LidoFinance,['https://github.com/lidofinance/audits'],,lido,12852231450.188082,"{'Ethereum': 6485654846.095953, 'Solana': 197474194.19443887, 'Terra': 6169102409.897691}",-0.18976729784648683,7.081678965115401,25.946732543880586,,3014566146.0,196635871.0,,,,,
6,2,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,https://wbtc.network/,"Wrapped Bitcoin (WBTC) is the first ERC20 token backed 1:1 with Bitcoin.
Completely transparent. 100% verifiable. Community led.",Ethereum,https://icons.llama.fi/wbtc.png,2,,wrapped-bitcoin,3717,Bridge,['Ethereum'],wbtc.js,WrappedBTC,['https://wbtc.network/dashboard/audit'],['Chainlink'],wbtc,12819833463.36,{'Ethereum': 12819833463.36},0.26925802206700666,1.689764911200072,1.8265877747421655,,12812684574.0,12812684574.0,,,,,
7,120,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,https://instadapp.io/,Aims to drive interoperability between protocols for power users and ease of development allowing developers of all stripes to start leveraging the full potential of Decentralised Finance.,Ethereum,https://icons.llama.fi/instadapp.jpg,,,instadapp,10508,Services,['Ethereum'],instadapp.js,Instadapp,['https://github.com/Instadapp/dsa-contracts/blob/master/audits/v1_PeckShield_Mar_2020.pdf'],,instadapp,12069398987.0,{'Ethereum': 12069398987},0.0,0.0,0.0,,,57442015.0,,,,,
8,114,Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,https://compound.finance,"Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",Ethereum,https://icons.llama.fi/compound.png,2,,compound-governance-token,5692,Lending,['Ethereum'],compound-onchain/index.js,compoundfinance,['https://compound.finance/docs/security'],['Chainlink'],compound,10202934900.830631,"{'Ethereum': 10202934900.830631, 'Ethereum-borrowed': 6976081871.714917, 'borrowed': 6976081871.714917}",0.15279706573340945,-0.18457685092403153,1.2328356350614627,,2027858653.0,1273931083.0,,,,,
9,1,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,https://info.uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum.
",Multi-Chain,https://icons.llama.fi/uniswap.png,2,,uniswap,7083,Dexes,"['Ethereum', 'Arbitrum', 'Optimism']",uniswap/index.js,Uniswap,"['https://github.com/Uniswap/uniswap-v3-core/tree/main/audits', 'https://github.com/Uniswap/uniswap-v3-periphery/tree/main/audits', 'https://github.com/ConsenSys/Uniswap-audit-report-2018-12']",['Uniswap'],uniswap,8894575220.340641,"{'Optimism': 36698626.24469101, 'Ethereum': 8795210093.06977, 'Arbitrum': 62666501.026179}",0.7686298514724115,1.0866042985719417,5.3194412203627905,,15498887913.0,7021141068.0,,,,,
